id,name,category,image_path,description
d143126c-b439-4ab6-9bcc-a7d767093714,Image 1,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_1.webp,accessories piece called Image 1
509e8afb-a4cc-44e2-b07d-b420306f94c2,Image 10,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_10.jpg,accessories piece called Image 10
552dffe8-cb88-4ae3-a4f1-41b68d73918c,Image 11,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_11.jpg,accessories piece called Image 11
d4246555-0251-41eb-a928-79e6d3367c90,Image 12,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_12.jpg,accessories piece called Image 12
47abf957-601b-4309-afab-8a0846e565ac,Image 13,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_13.png,accessories piece called Image 13
6056a999-2ff6-40e9-ba10-46877f6fde6b,Image 14,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_14.webp,accessories piece called Image 14
3187f902-aacd-499a-a00b-9b5509de915b,Image 15,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_15.jpg,accessories piece called Image 15
35a0ffa3-2f6d-4002-bc08-3f9697485d05,Image 16,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_16.jpg,accessories piece called Image 16
acf13434-6e7c-4183-9958-a24781438f8d,Image 17,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_17.jpg,accessories piece called Image 17
5629c601-d609-4a65-8331-67ab6024b8d1,Image 18,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_18.jpg,accessories piece called Image 18
ae8f8564-c6b5-4151-96d6-1aa674a73ce8,Image 19,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_19.jpg,accessories piece called Image 19
25cc4607-d56f-4216-a9a6-adb0be95d7b9,Image 2,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_2.jpg,accessories piece called Image 2
42158ce9-b292-4676-bda6-0b3288d056e4,Image 20,accessories,data\images\accessories-20251116T220748Z-1-001\accessories\image_20.jpg,accessories piece called Image 20
